Track	Disc	Length	 Size
Track01.wav	032.2013.034	00:03:56	40,823 kB
Track02.wav	032.2013.034	00:04:51	50,144 kB
Track03.wav	032.2013.034	00:03:31	36,496 kB
Track04.wav	032.2013.034	00:04:15	43,997 kB
Track05.wav	032.2013.034	00:05:05	52,562 kB
Track06.wav	032.2013.034	00:03:44	38,733 kB
Track07.wav	032.2013.034	00:05:21	55,351 kB
Track08.wav	032.2013.034	00:06:27	66,677 kB
Track09.wav	032.2013.034	00:03:31	36,404 kB
Track10.wav	032.2013.034	00:03:33	36,785 kB
Track11.wav	032.2013.034	00:01:07	11,682 kB
Track12.wav	032.2013.034	00:04:28	46,241 kB
