BLU,Popeyes Blues Tent,2004,2005
ACU,Acura Stage,2004,
FDD,Sheraton New Orleans Fais-Do-Do Stage,2004,
ECH,Economy Hall Tent,2004,2005
COS,Congo Square Stage,2004,2005
LAG,Lagniappe Stage,2004,2005
GOS,Rhodes Gospel Tent,2004,2005
NAM,Native American Stage,2004,2004
JAZ,BellSouth / WWOZ Jazz Tent,2004,2007
SPR,Sprint/Sanyo Stage,2005,2005
JAH,Jazz & Heritage Stage,2005,
SPR,Sprint Stage,2004,2004
BLU,Southern Comfort Blues Tent,2006,2011
COS,Congo Square Louisiana Rebirth Stage,2006,2011
ECH,Economy Hall Tent Presented by Rajen Kilachand,2006,2006
GOS,AIG Gospel Tent,2006,2011
LAG,Allison Miner Music Heritage Lagniappe Stage,2006,2011
KID,Kids Tent,2006,
GEN,Gentilly Stage,2007,
JAZ,AT&T / WWOZ Jazz Tent,2008,2011
ECH,Economy Hall Tent Presented by People's Health,2007,2011
BLU,Blues Tent,2012,
COS,Congo Square State,2012,
GOS,Gospel Tent,2012,
LAG,Lagniappe Stage,2012,
JAZ,Zatarain's / WWOZ Jazz Tent,2012,
ECH,People's Health Economy Hall Tent,2012,
MH,Allison Miner Music Heritage Stage,2012,
